,Emotion,Sentence
29,Enjoyment,"Ông này khoái review nhà vệ sinh kkk
Gặp toàn người Việt nên thik nhây hỏi nhiều 
Đọc cái dòng chữ Viétub mà cười sặc haha"
30,Enjoyment,"Cám ơn bạn đã làm những chương trình rất hâp dẫn cho những ai ko có điều kiện đi du lịch , xem kênh của bạn khám phá nhiều điều thú vị. Chúc bạn làm  nhiều chương trình hay hơn nữa  và thành công trong cuộc sống."
31,Enjoyment,Thích a review vì a ăn cái rụp r cảm nghĩ đơn giản còn bọn reviewer kia thì có 1 miếng nhỏ ăn tới ăn lui r nói tào lao
32,Enjoyment,"Thấy anh nhắc mới nhớ, hy vọng anh sẽ review món ""bò rắc thính"" của vua thịt bò "
33,Sadness,Nhìn ông đầu bếp kia.. Múa hai cái cào cào kia mà chóng hết cả mắt... Ha.. Ha.. Hay.. .
34,Other,anh đầu bếp thân thiện ghê .
35,Other,Mới đầu tưởng Khoa ăn hết gần 30tr chứ 
36,Enjoyment,Model ăn bò bây giờ phải dát vàng và rắc muối nhé Khoa ơi!
37,Enjoyment,"A đầu bếp trình diễn đẹp quá. Nói năng, phục vụ cũng rất lịch s, nhìn tay nghề ảnh cũng rất chuyên nghiệp nữa."
38,Enjoyment,Ăn gì thì ăn k bao giờ quên giới thiệu nhà vệ sinh. Cậu hài thế
39,Other,Nhân viên nhiệt tình và tận tình quá 
40,Sadness,Anh làm quay phim 1 ngày cho caramen review đi a ai đồng ý cho 1 
41,Other,Vừa ăn dĩa com 15k vừa coi anh Khoa ăn mà tưởng tượng cho đỡ thèm  :)))
42,Enjoyment,"Mấy cái biểu diễn như này đợi mãi mới có ăn, ăn theo kiểu phong cách cho hoành tráng thôi chứ đang đói mà ăn kiểu này chắc bắt tay vào làm với anh đầu bếp luôn."
43,Enjoyment,E đang làm ở quán này tại nhật tuần em ăn 3 miếng mỗi miếng 300g 
44,Enjoyment,Đúng là món ăn sang chảnh khi nào có điều kiện làm YouTube làm hoành tráng như a Khoa
45,Enjoyment,anh khoa thích ăn nhanh gọn lắm cái j mà nhanh thì anh càng thích  mà video chs  hẳn  1 tiếng luôn :))
46,Other,Fan ruột của anh!
47,Enjoyment,Nhìn ổng giống Tuân Trẻ Trâu ông biểu diễn á 
48,Other,Toi rat thich loi noi chuyen {teu }cua cau tre nay--mieng thit vut vao tuong chac se dinh} thay vi mieng thit {mong }nhu {la lua} Cilp nay vui qua
49,Other,"Anh làm ""rì viu"" món mỳ kéo sợi đỉnh ký ở 311 bãi sậy, phường 8 quận 1 đi anh"
50,Other,43:10 ĐANG CHỊCH À :V
51,Other,Anh đầu bếp chuyên nghiệp quá
52,Enjoyment,qua thổ nhĩ kì review ông đó rắc muối đi ah khoa ơi **)
53,Enjoyment,"Chú đi review Salt Bae cận cảnh đi ạ,  mog chú ạ....."
54,Other,"Mình cũng từng ăn bò nhật rồi, quan trọng đầu tiên là giống bò, loại bò đặc biệt này có khả năng tích mỡ trong thịt...người ta cứ đồn bò kobe được massage, nghe nhạc , uống bia, chăm cực hơn bò thường ...thực ra đó chỉ là người ta tung tin để người ăn tưởng tượng nó sẽ thật là cao cấp...nhưng không...chẳng có thứ gì đẹp đẽ hết...nguyên lí để miếng thịt mềm rất đơn giản là chỉ cần mỡ nhiều là thịt mềm — toàn nạc sẽ dai hơn — mỡ bò tất nhiên nó sẽ thơm mà ko bị ngấy như mỡ lợn  — theo quan điểm của mình— bò nhiều mỡ là bò yếu - ít vận động nên cơ bắp của chúng không phát triển — như vậy có thể hiểu bò kobe là loại bò yếu nhất trong các loại bò—- mùa đông lạnh giá chân khớp nó sưng nên bắt buộc phải vỗ vào để máu lưu thông ,, họ cố tình nhốt nó vào cái chuồng bé tí để nó không đi lại được mục đích ép chúng không được vận động nhiều — sau đó kích thích chúng ăn thật nhiều ,, thức ăn cơ bản là cỏ và ngô..nhưng họ cho ăn gì khác chắc chắn đó là bí quyết  — như vậy đã có thể hiểu là ép chúng ko dc vận động nhưng ăn phải nhiều — trước khi giết thì masage cho sung sướng thuê giãn để chết trong êm ái để giữ độ ngon của thịt....như vậy những con bò  này về bản chất chúng bị sống ngược đãi hơn là sung sướng như mọi người tưởng đâu ạ, chúng bị con người thúc ép vào 1 công thức để cho ra một lợi thịt mềm — là một sinh vật nhưng bị nhốt chật hẹp ko cho vận động và ép ăn— như vậy thịt của chúng bị tích mỡ và sợi cơ bắp quá ít....các bạn cũng từng nghe gan ngỗng pháp rồi đúng không —- cực kì đắt như thịt bò nhật — và chúng cũng bị ép ăn để gan phát tướng lên và chết trong điên loạn — còn bò kobe chết trong một cơ thể yếu ớt nhưng ít ra cũng được massage trước khi chết — người nuôi sẽ ko nói thẳng ra vì như vậy người ăn sẽ không thấy thú vị nữa giảm hẳn thương hiệu....nó luôn bị bắt đứng im một chỗ nên sẽ bị cứng khớp để lâu có thể bị viêm và ko đứng dc nữa nên họ mới phải xoa khớp cho nó chứ không phải massage cho thịt mềm đâu ạ— còn thỉnh thoảng cho uống tí bia mục đích để kích thích nó ăn nhiều hơn thôi — bắt đứng một chỗ bố ai mà chịu dc — ăn thịt này mềm thơm là do mỡ bò chứ nó không bổ như thịt bò mình đâu — ăn bò mình thì mới có cơ bắp khoẻ hơn - con gì càng vận động nhiều thì cơ bắp nhiều dai thịt —- bò các nơi đều nuôi theo kiểu tự nhiên nên chúng ít mỡ lắm toàn nạc—— các bạn nuôi con gì cũng thế — nhốt kín trong 1 chỗ thật chật hẹp- ép ăn nhiều — bảo đảm lúc thịt nó sẽ béo mềm — còn massage - nghe nhạc là 1 cách giúp con vật ngoan ngoãn nằm im không bị phát điên mà thôi—- dù thế nào đi nữa giống bò nhật là quan trong ... cơ địa của nó cho phép mỡ Đan xen với lạc rất đẹp mắt — nhưng nhật nó không ngu mà bán giống thuần chủng sang nước  ngoài đâu— lai tạo thì đầy nhưng ko ngon"
55,Other,muốn chính gốc là bay qua nhật vào trại mổ bò kobe rồi tự tay sẻ thịt mang về tự nấu thế là anh em hết cải nhau kkk
56,Enjoyment,đi các tỉnh thành khác đi a khoa
57,Other,Bạn khoa dễ thương lắm các bạn..mình rất thích xem..video..của a..a hiền lành..
58,Other,18:42 ông đầu bếp nói e xin giới thiệu vs anh chị... Caramen là nữ ko phải bàn nhá
59,Other,Nhà vệ sinh hấp dẫn á kk cười ỉa vs ỗng 
60,Other,Nam có lợi thế không phải chăm con cái như phụ nữ nên toàn tâm toàn ý cho nghề nghiệp.
61,Enjoyment,Nhìn anh ăn mà em muốn rắt bò nhà em ra lò mổ quá
62,Enjoyment,16:50 miếng bò v cho máy cắt dễ dàng mỏng mà đẹp
63,Enjoyment,"do năm nay a ít ra video quá , lên cày lại từ những video đầu xem cho sướng ."
64,Enjoyment,Co ai như tôi không.. Xem sông bữa sao chạy ra mua luôn 1kg..... Với giá 190k 
65,Enjoyment,anh khoa có khoái cảm với nhà vệ sinh ghê =))))
66,Other,Tối nào em cũng ăn mì tôm xem video của a 
67,Other,sang Mỹ ăn thịt bò của ông đầu bếp Thổ Nhĩ Kì đi anh
68,Enjoyment,a nên quay phụ caramen.để chụy ấy còn dùng nữa..nguội mất ngon
69,Enjoyment,Thịt bò mền cho miệng dễ tan do thịt bò ngon thái lát mỏng và đúng thớ của nó nữa . cộng thêm nấu chín tới nên rất mềm . các bạn ở nhà cũng có thể làm . ngon ở nước chấm ấy
70,Enjoyment,CAM ON KHOA CHIA SE QUA HAP DAN VA TUYET VOI !
71,Other,Ông khoa này dành cả tuổi thanh xuân để ăn và ănKhông biết chừng nào camera man thành thùng phi vì theo ông khoa nhỉ.
72,Other,Ở VN chỉ có a khoa Lam video.di ăn cho sang chanh.va đi nhưng noi đẹp cả nổi tiếng.ma người VN chưa từng ăn và chưa từng đi tới.trieu like
73,Other,"Qua ngon luon , thanks for your video ️️"
74,Other,"Ông bồi bàn với bếp trưởng đc đào tạo chuẩn Nhật
Khách hàng là thượng đế"
75,Sadness,"cả đời em chưa biết  bò kobe không biết phấn đầu tới khi nào mới đc đi nhiều và ăn thoải mái như anh hhuhu, nhưng có chung đam mê là yêu cho như a Khoa, em nuôi 3 con becgie như 3 con hổ ở nhà :D"
76,Other,Youtuber chịu chi nhất VN
77,Enjoyment,"Món ăn người Nhật đập vô con mắt là đẹp trc sau đó ngon sau ...vì mình đi ăn , có 1 món thui mà dọn quá trời gia vị kèm theo , chén dĩa tô gì quá trời !!! Làm trong đó khâu dọn dẹp , rửa chén ko là thấy bà rùi"
78,Enjoyment,A cứ quay đồ ăn thượng hạng như này thì chết e quá!
79,Enjoyment,16:16 nhìn giống ảnh v
80,Other,Kết câu nói tào lao ảnh phóng dao vô mồm
81,Other,Qua bên nhật ăn món nhật luôn anh uiii!!! ️️️
82,Enjoyment,"Nên kêu 1 phần review thôi :)) từ từ còn cho cameraman ăn nửa :v chứ quay kiểu này chế biến nguội sao camera ăn :)) 
Hoặc là chờ từ từ quay xong 1 phần  rồi kêu chế biến phần 2 :v"
83,Other,Người ta làm youtober để kiếm tiền ..còn ông này kiếm tiền để làm youtobe
84,Other,Mình thấy anh này làm tinh tế hơn chị đầu bếp trước. =))
85,Enjoyment,bữa tối nay bát mỳ Hảo Hảo của tui có vị Bò Kobe các bác ạ..  :))
86,Enjoyment,Em thích anh rùi đó chất chơi người dơi
87,Surprise,Thích nhìn cái tay ông đầu bếp cạo hai cái xủi.
88,Fear,Xem từ đầu tới cuối. Chỉ qua nhanh 20s lúc xào hành 
89,Other,ANH ĐẦU BẾP CHẮC LÚC TRC MÚA QUẠT KINH LẮM
90,Other,A Khoa làm clip luôn có người phụ nữ quyền lực bên cạnh đúng cho 
91,Other,YouTube làm ăn kì quá h mới thấy thông báo
92,Enjoyment,Chảy nước miếng mẹ rồi :3
93,Other,Tôi nấu ăn lúc 15 tuổi và chỉ ngửi mùi nhẹ là biết thiếu hay đủ rồi... và bây giờ đang nhận gần 10 nhà hàng lớn nhất SG
94,Other,Coi clip này tự nhiên nhớ tới bà áo đỏ khách sạn aroma ko bit giờ bã ra sao  kkkk nói vui thôi mọi người đừng ném đá nha 
95,Enjoyment,Chủ tịch đi ăn  những món đắt tiền và cái kết
96,Other,"Ho trang tri dep va ho la, mon an rat la cong phu vay e an tu tu thoi de thuong thuc .an nhanh qua em oi .an nhanh nhat la lam mon ca hoi ,dau hu ca mon so Diep "
97,Other,"Em có chỗ ngon nói anh nè
Quán texas beef house , có món bò rideye 24 oz ngon cực và còn có bánh mì free cực ngon luôn
Mà các anh đó làm tự nhiên e nhớ kem cuộn v~ lèo"
98,Other,"Nhà giàu ăn mệt thiệt, nhìn chế biến từng tí 1 oải "
99,Enjoyment,"Emthaaysbof vN mình ăn cỏ bt mà ngon nhất, em đã ăn qua rất nhiều loại bò rồi, chỉ thích bò VN mình nghèo nhưng ngon thơm số 1. Bò mỹ thì em k thích một chút nào, có mùi khó chịu lắm... ở vN ăn quen k thấy quý chứ đã đi nhiều nước, ăn nhiều loại bò thì vẫn k thể nào cảm thấy bò nào qua mặt đc bò mình... ý kiến riêng của em. Em thích nhất phần rìa gân gân mỡ mỡ của bò, nấu canh măng tươi băm vs lá lốt là tuyệt....nhớ cái vị đó ghê, mà fai về vn, ở miền trung mới tìm đúng hương vị. Anh khoa ơi, anh về miền trung ăn thử đồ ăn đi, nhẩt là Quảng ngãi đó, thử món nộm da bò , bún bò giò, ............ ram thịt nướng...."
