Sentence,Emotion
"mùa hè của tớ đang tới, mùa hè của 1 học sinh cuối cấp đang ôn thi cho kì thi đại học - có lẽ là kì thi quan trọng nhất đời tớ, mùa hè của những lần ôn thi mệt nhoài, của những stress, áp lực tới khóc mờ cả mắt, của những mông lung, mải miết cố gắng rồi lại thấy kết quả của những lần thi thử chẳng được như ý, những nỗi sợ những lần tự trách bản thân 
nhưng mà, tớ biết mùa hè này chẳng thể trở lại lần nào nữa, mùa hè của những năm sau này chẳng thể có những người bạn đã cùng nhau cố gắng sống chết với 1 trường đại học mà mình mơ ước, mùa hè này - mùa của những chia ly, với tớ đó là mùa hè đáng nhớ lắm 
rồi những mùa hè sau, ta vẫn có thể sẽ khóc nhưng ta sẽ không còn khóc vì áp lực thi đậu trường đại học này hay vì điểm của những lần thi thử tốt nghiệp, ta khóc vì những điều lớn hơn tất thảy
tớ - lớp 12 này, tớ không còn lựa chọn nào ngoài cố gắng hơn bằng tất cả những gì tớ có 
gửi chúng ta của mùa hạ tháng 6 thi cử áp lực
gửi chúng ta của mùa hạ tháng 9 - ngày ta vui mừng tới khóc vì đỗ nguyện vọng 1
gửi tớ vì đã dám mơ lớn để biết mình đang ở đâu và lì lợm không từ bỏ giấc mơ này 
gửi cậu - người bạn đã và đang cố gắng đậu đại học top với tớ 
gửi chúng ta của những năm tháng sau này - năm tháng của trưởng thành - năm tháng mà ta khóc vì cơm áo gạo tiền, không còn là những điểm số cao hay thấp nữa 
và mong cậu, chúng ta hay bất kì ai đọc được những dòng này, đều sẽ có chút gì đấy nhớ nhung về 1 mùa hạ thi cử áp lực, 1 mùa hạ mà nụ cười em lung linh dưới nắng, 1 mùa hạ mà mắt anh ẩn chứa đợi mong, 1 mùa hạ mà chúng ta đã từng cố gắng, cùng nhau hay chỉ âm thầm 1 mình 
dẫu sao thì chúng ta - những con người bé nhỏ đã từng có những kỉ niệm chẳng hề bé nhỏ chút nào...

gửi tớ - Thảo: tháng 9 đỗ FTU rồi quay lại đây nhắn gửi nhé, đừng khóc nhiều, mắt cậu cận nặng rồi, áp lực sẽ qua thôi, mây mù không thể giăng kín lối mãi mãi được. Cố lên, cậu là mùa hạ của tớ.",Enjoyment
"Nắng chiều len lỏi vào lớp học , mọi người đang đau đầu vì bài khó.Ai cũng mang trong mình giọt nắng lấp lánh để rồi toả sáng nơi tương lai.Nhưng đâu ai biết khoảng khắc đó đáng nhớ nhất đời...",Fear
"""Tôi gửi tình yêu cho mùa hè, nhưng mùa hè không giữ nổi. Mùa hè chỉ biết ra hoa phượng đỏ sân trường và tiếng ve nỉ non trong lá. Mùa hè ngây ngô, giống như tôi vậy. Nó chẳng làm được những điều tôi kí thác.""",Other
"Cũng may là bây giờ tớ mới thấy video này, nếu mình nghe nó vào khoảng 1,2 tháng trước chắc mình sẽ khóc nấc đến ko thở nổi mất. 2023 là năm cho mình nhiều bài học nhất, nhiều cảm xúc, dạy mình cách cố gắng, nỗ lực hết mình và là thời gian mình còn đc ở bên những người bạn yêu thương. Tuy kì thi THQG 2023 đã trôi qua cũng đc một tháng rồi, nhưng nó vẫn còn đọng lại trong mình một chút gì đó...một chút nuối tiếc, một chút thất vọng và một chút chán ghét bản thân. Mình ghét bản thân mình vì đã ko nghe lời những anh chị, mình đã học tủ và kết quả của mình ko đc như mong muốn. Mình ghét bản thân mình vì luôn ẩu thả để sai những câu vô cùng cơ bản mà mình đã làm qua nó hầu như một nghìn lần... Và hình phạt mà mình phải chịu chính là mình đã tự giằn vặt bản thân từ ngày ấy.",Sadness
"Vô tình xem được chiếc podcast này, thực sự rất hay và làm mình nhớ mùa hè vì chỉ còn 1 năm nữa là kết thúc thời học sinh rồi .....",Enjoyment
"Thật tâm ... Tôi mong tất cả các cậu hạnh phúc, an yên. Chúc các cậu dù trải qua bao sóng gió vẫn giữ được nụ cười trên môi",Enjoyment
"Cảm ơn chị vì bài podcast này, thời học sinh thật sự là một khoảng kí ức tuyệt đẹp nhất đối với em và nói bạn học sinh nói chung, mãi về sau dù trải qua bao thăng trầm của cuộc sống nhưng khi nhớ về nó lại cho ta cảm giác lâng lâng khó tả. Em yêu cái cảm giác đó có đêm nằm nghe bài hát “ lời tạm biệt chưa nói “, ta nhắm mắt thưởng thức nhưng tự dưng lại lạc vào khoảng kí ức năm xưa sân trường hiện về ngay lúc đó em đi trên từng bật thang từng con đường nay chẳng còn bóng người nào cả chỉ còn lại mảnh kí ức đẹp đẽ trong đầu xuất hiện một cách mơ hồ gợi cảm giác nghẹn ngào khó tả. Nó làm ta lưu luyến, làm ta bồi hồi trái tim lại đập mạnh vì sự hân hoan rồi lại bừng tỉnh lại vì đó chỉ là ảo giác của quá khứ mà thôi quá khứ trôi đi theo dòng nước mắt của sự hoài niệm nhớ mong da diết thời gian mà ta trân quý nhất. Giá như, giá như thời gian có thể quay trở lại xin 1 lần được trở về sống lại khoảng thời gian đó. Dù chỉ 1 lần thôi cũng được và đó chỉ là điều ước nhỏ nhoi chẳng bao giờ thành sự thật nhưng vẫn cứ ước thôi, sau này tương lai mọi thứ vẫn hoạt động như vậy nhưng mong rằng mọi thứ đều tốt đẹp, mong rằng những kí ức đẹp đó bản thân có thể dùng trí nhớ lưu trữ toàn bộ không sót bất cứ chi tiết nào. Thành thật biết ơn và cảm ơn quá khứ, hiện tại và cả tương lai của chúng ta. ",Enjoyment
"để lại chiếc ""bí mật"" nhỏ xinh ở đây để nếu sau này mình có vô tình đọc lại, mong những cảm xúc hiện tại vẫn còn vẹn nguyên. Hè đến rồi, bọn mình cứ cắm mặt vào ôn thi, ai cũng đều mang trong mình sự nhiệt huyết và sôi nổi của tuổi trẻ đầy hoài bão. Năm nay chúng mình 17 tuổi, trưởng thành hơn rất nhiều, mở lòng với nhau hơn, cười với nhau nhiều hơn, trân quý từng khoảng khắc còn được học cùng nhau, cùng nhau cười òa lên vì những câu nói vô tri. Mấy hôm nay, mình thấy mình mít ướt quá, lúc bật khóc vì không nghĩ ra được bài toán, lúc đang học tự dưng nhớ đến những hình ảnh ngây ngô (dù xấu ngoắc) mà tim như nghẹn lại, phải dừng để khóc một lúc xong mới học tiếp được. Chúng mình của bây giờ - thật sự rực rỡ và tràn đầy sức sống! Mà mấy thứ tình yêu bọ xít lại thường xuất hiện vào những lúc như này thì phải :> cậu ấy là người tốt bụng, tử tế và lễ phép, cũng đáng yêu nữa. Không phải là mình không đủ dũng cảm để nói ra, chỉ là có những rung động mà chỉ cần nằm ở ngăn sâu nhất của trái tim thôi cũng đủ đẹp đẽ và trân trọng rồi nhỉ. mình có cảm tình với cậu, mong cậu sẽ luôn vui vẻ và hạnh phúc, vững vàng vượt qua giông bão cuộc đời. (thôi thì nói ở đây cũng được đi :>). Vậy thôi, giờ mình phải học tiếp đây, to-do-list hôm nay còn dài lắm ToT. 8h36p (24/05/25) /my princess diary/ còn 32 ngày nữa thôi, chắc chắc mình sẽ làm được!",Enjoyment
"Anh cũng hạnh phúc biết bao khi được chở em đi học về sau chiếc xe đạp năm đó, những ngày dắt bộ do bể bánh. Ôi! cả đời này ko ai đẹp như em, dịu dàng như em, cười xinh như em và cả đời sau anh ko có được em",Enjoyment
"Mình đã trải qua mùa hè cuối cùng của thời hs như bao mùa hè khác, hiện tại mình đanh nỗ lực cho những ngày tháng cuối ở mái trường này, mình cũng đã có cho mình một mục tiêu, một bóng hình trong đầu, mình sẽ cố gắng để đạt đc cả 2 điều này",Other
"ĐỘt nhiên bấm nghe 1 bài podcast vì nhìn thấy tiêu đề rồi nhớ đến mùa hè năm ấy, cùng học cùng vui cùng đùa, nghe và nghĩ đến những kỉ niệm thật NGỌT, ngọt đến mức mà mỗi lần nhớ đến tôi luôn mỉm cười vì đc sống trong những ngày tháng đấy  
CHÚC TẤT CẢ CÁC BẠN CỦA TÔI LUÔN ĐẠT ĐƯỢC NHỮNG GÌ CHÍNH MÌNH MONG ƯỚC 
để rồi sau này gặp lại nhau chúng ta vẫn mỉm cười rạng rỡ như chúng ta đã từng 
Cảm ơn mùa hè của tuổi 18",Enjoyment
"Mình còn 1 năm nữa , lớp 12… , có lẽ thời gian trôi quá nhanh để mình cảm nhận nhỉ ,chỉ mong những ngày tháng này sống thật hết mình , trân trọng từng khoảnh khắc để không nuối tiếc . Mùa hè mùa của tuổi thanh xuân ấm áp ",Other
"cho tôi gửi lại đây những lời mà tôi chưa thể nói với những người bạn cấp 2 của mình răng tôi nhớ và yêu mọi người lắm, mọi người là gia đình, là tuổi trẻ của tôi, đừng quên tôi nhé, cảm ơn mọi người đã giúp tôi trưởng thành hơn, giờ lớp 11 rồi, tôi chỉ có một mình, bây giờ tôi chỉ muốn được sống cùng mọi người thôi, giá như cuộc đời cho tôi gặp mọi người khi tôi thành công",Other
"đây là mùa hè cuối cùng, mùa hè của 18 - độ tuổi đẹp nhất. 2k7 ơi, chúng mình cùng nhau cố gắng chặng cuối này nhé. tên chúng ta sẽ càng đẹp hơn nếu như nó có trên thông báo trúng tuyển trường chúng ta mơ ước đó. Fighting",Other
"27 tuổi - cái tuổi đang vùi mình vào cuồn quay công việc . Gánh trên vai áp lực về công danh  tiền bạc và cả hôn nhân nữa . Là đàn ông thì không nên than vãn  và luôn ngẩng đầu về phía trước . Cảm ơn Vì sao thế  nhỉ ? đã giúp mình nhắc lại những ký về mùa hè, về tuổi thơ đáng nhớ đó . Nghe từng câu từng chữ của podcast , nó như 1 cuốn phim đang hiện lại trong đầu mình vậy . 
Cảm ơn rất nhiều !",Other
"Khi đã đi làm, mùa hè cũng chỉ là 1 mùa trong năm … hối hả, tất bật với cuộc sống. Độ tuổi nào cũng có những mối lo, nhưng có lẽ thời gian khi còn học sinh là đẹp đẽ nhất, dù tôi đã trải qua không mấy tốt đẹp … Ve kêu, phượng đỏ, mùa chia ly, tiếng trống , dàn bóng bay thả trên bầu trời, tình yêu của tôi …",Other
Thật sự thời học sinh là thời gian đáng nhớ nhất cuộc đời mỗi người luôn ấy. Hy vọng những ai đang trong quãng thời gian đẹp nhất này hãy biết trân trọng và sống hết mình nhé,Other
"hồi cấp 3 thì mỗi lần tới hè là cảm giác sướng , tận hưởng hè hết sức có thể , giờ lên đại học xong thấy hè hết vị , vẫn phải đi làm thêm , vì tiền đóng tiền học nên phải cố gắng",Other
"Mình 25 tuổi, xa xứ. Vừa làm việc xong mở nghe bài podcast này. Tự dưng buồn rười rượi. Thấy nhớ việt nam, nhớ bạn bè, nhớ ngôi trường làng cùng những buổi tan học đạp xe về với chúng bạn. Hồi ấy mình vô tư lắm. Giờ bộn bề lo bao nhiêu thứ của cuộc sống, quên bẵng cái thời non nớt, yêu đời ngày ấy, quên luôn cả chúng bạn. Giơg nhìn lại, buồn nhớ quá",Sadness
Mong mùa hè này sẽ thật rực rỡ với mình.,Other
"Mùa hè cuối cùng của đời học sinh là mùa hè sẽ đi theo tầm trí mình mãi mãi , một mùa hè đầy ắp những kỉ niệm sẽ không thể quên được.",Other
"Vào một ngày đầu hạ 2024 tớ nghe được tập này. Bao kỉ niệm về mùa hè ấy lại hiện về, niềm vui có, nỗi buồn có, hạnh phúc có và khổ đau cũng có,... Nhưng có lẽ hơn cả, mùa hè đó thật tuyệt vời, đầy đủ, gói gọn mọi cung bậc cảm xúc, thật nhớ nhưng cũng chẳng thể trở về. 3 năm có lẽ cũng không quá dài nhưng cũng đã đủ làm thay đổi tất cả những con người ở mùa hè năm ấy, không còn ai ở lại nữa, không một ai trở về nữa,...",Enjoyment
"Mùa hè năm đó tôi đã lần đầu biết yêu, biết nhớ, nỗi nhớ không thể tả được... Tôi biết yêu rồi",Other
"tối nằm, bỗng dưng nhơ về trường, nhớ bạn bè thầy cô, nhớ cái thời còn vô tư đi học rồi về vui chơi, tuy là thế hệ bị gắn liền với smartphone nhưng những kí ức vẫn còn nguyên vẹn, nước mắt rơi lúc nào ko hay",Enjoyment
"Mùa hè năm nay tớ rời xa ngôi trường cấp 2, bỗng nay nhìn thấy hoa phượng nở chợt nghĩ sắp phải xa nơi này ùiii. Rất nhiều khung cảnh ở nơi mái trường tớ từng bước qua, rồi đến hôm nay cuối cùng nó cũng chỉ còn là kỉ niệm. Còn giờ chỉ là những lúc vùi đầu vào sách vở để thi cấp 3, cả ngày hôm nay tớ học 4 ca nhưng lúc nào tớ vẫn tự nhủ với bản thân rằng còn 1 tháng nữa thôi nên phải cố gắng nỗ lực hết sức để không phụ lòng bố mẹ và cả cậu nữa. Tớ sẽ thực hiện lời hứa đối với cậu, iu của tớ",Other
Mùa hè năm ấy tớ với cậu đã chia xa . Tất cả hi vọng đều phải dập tắt . Sau này dù ko gặp lại nhưng cậu vẫn ở một góc trong tim tớ,Other
"Mùa hè năm ấy, tôi xem podcast này trong mùa hạ có cậu, mùa hè này tớ lại xem lại podcast này chỉ là chẳng còn cậu nữa rồi. Một năm rồi, cậu vẫn là người tớ thương, một năm rồi vậy mà tớ không quên được cậu. Mùa hè đến đem theo hồi ức năm ấy, tớ trân quý điều đó trân quý khoảng thời gian bên cậu.",Fear
Chỉ còn 2 tháng nữa thôi là thi r chúc cho t và tất cả cx đậu nv1,Other
"hè này thật đặc biệt. Có lẽ sẽ là ngày tớ rời xa cô gái tớ yêu, rời xa người con gái tớ luôn cố gắng để với tới️",Other
"Ước gì giờ chỉ mới bước vào cấp ước thời gian trôi chậm lại, cảm ơn những người bạn cũ đã cho mình những kỉ niệm đẹp cảm ơn vì đã là một phần trong thanh xuân của tớ",Other
"Dù biết còn 1 năm ở bên nhau dưới mái trường nhưng sao cảm xúc luôn thực sự khó diễn tả phải chăng điều đẹp đẽ thường đến quá nhanh, nhanh đến mức ta chẳng nhận ra tuổi học trò đang dần khép lại. Chỉ mong từng ngày, từng giờ đều ý nghĩa để bản thân không phải hối tiếc vì một thời đã qua. Thời điểm thanh xuân đẹp nhất, hồn nhiên, chân thành. Thời gian có thể chảy không ngừng nhưng kỉ niệm thanh xuân ấy sẽ còn mãi và vượt qua cả thời gian.Chỉ chúc rằng mỗi chúng ta sau này sẽ có tất cả trừ nỗi buồn và một ngày nào đó chúng ta sẽ gặp lại thì chỉ mong rằng tâm hồn vẫn tuổi 18 nhé các bạn ",Sadness
"Mùa hạ thứ tư đã tới trên dải đất này, mùa hạ thứ tư của tập thể A1 khoá 2019-2023..
Tới năm cuối cấp, tình cảm và mối quan hệ lớp ta tất nhiên sẽ phân hoá và thay đổi rất nhiều. Nhưng nhờ các bạn, suy nghĩ về cái chết đã không còn đeo bám tôi. Người bạn thân cũ mà tôi coi là cả trái tim cũng không còn nhớ rõ nổi mặt, tôi cũng không còn phải khóc rất nhiều khi nghĩ về cô ấy nữa. Tất nhiên, bản thân tôi là một đứa trẻ nhạt nhoà, sợ sệt trong hoạt động nên khó lòng mà các bạn có thể nhớ tôi sau khi chúng ta chia tay Nhưng chí ít có lẽ chúng ta mỗi khi nhớ về nhau đều sẽ mỉm cười rạng rỡ. Tạm biệt các bạn, chúc các bạn sẽ cố gắng hết mình vào kì thi sắp tới để bước tới 1 môi trường mới, một thử thách, hoài bão mới.. Và tôi cũng sẽ cố hết sức mình để khi nhìn lại, tôi cảm thấy hạnh phúc từ trong thâm tâm. Tạm biệt A1, hẹn một ngày không xa!
Và với ai đọc được comment này, tôi mong rằng mọi điều tốt lành sẽ đến với bạn. 
Cảm ơn Vì Sao Thế Nhỉ đã cho mình cảm thấy thư giãn trong thời buổi ôn vào 10, các tập postcard thực sự đã healing mình rất nhiều",Enjoyment
"mùa hè năm nay với tớ sẽ thật đáng nhớ vì những ngày tháng cặm cụi đèn sách , vì những ước mơ, hoài bão của bản thân, vì những kỉ niệm cùng những người bạn chân chính và vì t đã gặp đc cậu - một chàng trai tớ cảm thấy đủ an toàn để mở lòng.",Other
người vừa kết thúc 12 là mình đang cảm thấy thật hụt hẫng và tiếc nuối,Other
"chỉ 3 này nữa thôi tôi sẽ bước vào kì thi tuyển sinh vào lớp 10 sẽ phải chia xa mái trường THCS ,phải rời xa những người bạn, nuối tiếc nhất là phải rời xa cô gái tôi yêu khi đoạn tình ấy còn đang giang dở khi nó còn đang ở lúc đậm sâu nhất , rồi những ngày tháng ấy chỉ còn lại là  những kỉ niệm đẹp ở lại sau bóng lưng của mỗi người chỉ con là thứ để nhớ về .Tạm biệt tuổi 15 nhiệt huyết,mùa hè 2024 hãy ở lại trong trái tim tớ nhé",Other
"Tình yêu đúng là món quà mà ~~ tuổi thanh xuân này tui"" tui sẽ nhớ mãi ~~~",Other
"Nghe podcash này mà trong mình cứ nghẹn ứ lại. Chẳng biết có thật sự nhớ về những ngày hé đó không nhưng sao mà lại sầu đến thế, sầu như cái tên của cô cậu nhà ve làm bạn với mình qua những ngày hè oi ả ở quê ấy. 
Nghe podcash này mà sao trong mình buồn đến vậy, nghe podcash này sao mà bất giác cười lúc nào không hay.
Nghe podcash này mà thấy mình cũng lớn lắm rồi, cũng có những góc nhìn khác mà ngày đó ngỡ cạnh bên mà không thể nào thấy được. 
Thương nhớ những ngày hè tuổi thơ ",Enjoyment
Hiện thực bộn bề. Thực sự trân quý phút giây ngày đó!! Cảm ơn,Other
"Cảm ơn  Youtube hôm này đã đề xuất cho tôi Video này. Vào 1 ngày thứ 2 đầy mệt mỏi của guồng quay sau khi xem và nghe xong Video này tôi bị lắng động với những điều đẹp nhất ở tuổi mới lớn mà mình đã trải qua. Dù chỉ là kí ức thôi nhưng thật nhẹ nhàng, bình yên và đẹp đẽ. Cố gắng hết tuần thôi, sắp được nghỉ lễ và về nhà rồi",Other
"Mình cũng nhớ mùa hè ấy nhiều mùa hè của nhiều năm về trước. Tất cả giờ đã là kỉ niệm. Giờ nghĩ lại chỉ thấy bật cười, không còn giận hờn, không còn buồn bã. Sau tất cả, cảm ơn vì mình đã có nhiều kỉ niệm đẹp đến vậy.",Enjoyment
"Cậu ấy đến như 1 ánh dương rực rỡ giữa những tháng ngày học sinh nhạt nhẽo của tôi. Cũng bởi cậu ấy quá rực rỡ, nên một người chẳng có gì ấn tượng như tôi chẳng thể nào nói rõ ra cảm xúc của mình. Nhưng tôi thật tâm cám ơn cậu đã cho tôi nếm được hương vị tình yêu của tuổi thanh xuân là như thế nào! Cám ơn nụ cười mùa hè năm ấy, cám ơn vì bóng dáng đã đứng đợi tôi lúc tan trường. Có những cảm xúc muốn tỏ bày nhưng chẳng thể nói thành lời, có những cơ hội ta bỏ lỡ để rồi vụt đi mãi mãi. Lời nhắn gửi cuối cùng tới những em học sinh cuối cấp rằng hãy thật trân trọng nhau, hãy hết mình cho ngày cuối cùng ta gặp nhau. Cháy lần cuối trên chính sân khấu tuổi thanh xuân, tôi sẽ không bảo các bạn đừng khóc nhưng mong rằng sau cùng các bạn sẽ nở 1 nụ cười thật tươi để chào tạm biệt nhau, hẹn gặp lại ở 1 tương lai sau này!
~ Mùa hè 2022 gửi gắm đến mùa hè 2023~",Enjoyment
"nghe xong mà quặn lòng, có những thứ mà ta đi qua nhưng thật sự chưa trân trọng rồi khi ngoảnh lại ta mới thấy những lát cắt kí ức của ta vẫn ở đó dẫu vui hay buồn đều là một phần của chính ta. Tuổi 18 của tớ phải cháy hết mik những phần cuối đời học sinh. Thân gửi",Enjoyment
"Đây k phải là lần đầu tiên tớ nghe tập podcast này, mỗi lần nghe tớ lại nhớ cuối năm lớp 9, cả lớp tớ chơi với nhau thân thiết biết bao, nhưng ngày cuối cùng chẳng ai hẹn mà cùng nhau đi học đứa này đợi đứa kia, nhưng lần cả một đám ngồi lại nói cười vui biết bao, sau kì thi vào 10 tớ và những người bạn ấy mới gặp lại một lần duy nhất, cậu truyện  mà họ nói tớ k biết phải tiếp lời ra làm sao, nhưng tớ vẫn nhớ họ nhớ vì đó là những ngày tháng tớ vui vẻ nhất thời học sinh, có những người bạn thân thuộc, có cả người mà tớ thầm mến đã lâu. Sau khi Lên cấp ba một lớp mà chia bè chia phái, k có nổi sự gắn kết tớ mới biết các cậu trái cô gái năm ấy tốt đẹp tới mức nào. Tớ nhớ các cậu lắm, nhưng vẫn mong các cậu có thể sống thật tốt thật rạng rỡ như những ngày tháng ấy",Enjoyment
"Cố lên nào những bạn học sinh cuối cấp! Hãy bền bỉ, kiên trì đến cuối cùng để sau nay khi nhớ lại không còn có những giọt lệ nuối tiếc nữa.",Other
"tớ luôn hoài niệm một cái gì đó, tớ luôn sợ phải chia xa nhưng cũng luôn quên phải trân trọng...,còn một năm nữa thôi mong rằng thời học sinh của tớ hãy thật rực rỡ, mong rằng tớ và những người bạn của tớ sẽ học được cách bao dung cho nhau, học được cách trân trọng nhau.
12.05.2024",Fear
