Sentence,Emotion
Theo như mình nghĩ người sống nội tâm thường là những người thích một mình . Họ một mình nhưng không hề cô dơn .Xung quanh họ còn có vạn vật  cũng đang im lặng nhu họ đó thôi,Enjoyment
"Đôi khi cảm thấy mình cô đơn nhưng thực chất chỉ là cảm giác thôi, vạn vật vẫn luôn bên mình, mình trong lòng những người thực sự yêu thương mình",Lonely
"Mình được ba mua cho cuốn này năm lớp 7, hồi đó tựa đề cuốn sách khiến mình tò mò. Và khi đọc, mình đã rất sốc với những bi thương xảy ra trong câu chuyện, cách các nhân vật hành xử hơi khó hiểu, sự loạn luân, v.v Với đầu óc ngây thơ của một đứa trẻ 13-14 tuổi thì nó khiến mình khá ám ảnh và mình quyết định không đọc tiếp. Tới bây giờ mình vẫn có cảm giác ác cảm với cuốn sách này, nhưng nhờ video của Better Version, cũng như sự cởi mở hơn về nhận thức, mình bất ngờ vì không ngờ cuốn sách lại mang ý nghĩa sâu sắc như vậy. Cám ơn better version, giờ thì mình đang đi kiếm cuốn sách để đọc lại đây :))) Một thoáng tình cờ thì Better Version đã giúp mình gỡ bỏ được phần nào ám ảnh tâm lý hồi nhỏ (thực sự hồi đó cuốn sách này khá đáng sợ với mình :< ), cám ơn kênh nhiều lắm",Surprise
"Giữa một thế giới ảo hỗn độn như thế này, tôi  yêu quý  kênh này. Vì ít ra như giữa thành phố  ồn ào và  náo nhiệt bạn  đã  tìm  thấy  cho mình  một nơi  im lặng để lắng đọng tâm hồn  bạn. Ít ra thì  mỗi ngày  tôi được tận hưởng sự tĩnh lặng để nội tâm được giàu lên sự  hiểu biết.",Other
"Chúng ta k hề cô đơn,vì tất cả chúng ta đều cô đơn!!!!!",Lonely
"hiện tại mình đang bên Nhật 1 mình 1 phòng ở ks, sáng đi làm tối về, cũng đc 6 năm rồi. n mình ko thấy cô đơ, mình biết ở nhà đang có vk con, có bm, có nhiều điều hp đang chờ mình. con ng cô đơn bản chất cũng là do suy nghĩ còn hạn hẹp, và qtrong là thiếu niềm tin. nghe clip mình nhớ lại mấy câu thơ của Bác Hồ ngồi nhà xí nghĩ về tương lai, sao mà Bác vĩ đại trong suy nghĩ quá.
Cô đơn cũng là 1 trang thái trong vô vàn trạng thái cảm xúc của con ng. chung ta làm cho não mình nghèo nàn thì khó nghĩ đc nhiều thứ khác",Lonely
"Nghe mà cái cô đơn của bà , như nối cô đơn của  con luôn nè ,thương bà và con làm luôn",Lonely
Tận hưởng nỗi cô đơn. Đừng run rẩy trước nó. Ngày mai bạn vẫn cô đơn nhưng đó là nguồn sức mạnh lớn nhất - hy vọng. Đang chờ tàu trong cô đơn nơi xứ người và tận hưởng cùng better version và trăm năm cô đơn. Thanks.,Lonely
"Sự cô đơn nếu quen cuộc sống sóc nổi rồi thì sẽ rất buồn . Nhưng trong cuộc sống thực tại sẽ không bao giờ tránh được sự cô đơn nhất là khi về đêm mà bạn không ngủ được .  Khi vừa đối diện với nó, bạn hụt hẫng và thấy rằng mọi sự bất hạnh đến với mình. Lâu dần nếu tỉnh tâm như Phật , như Chúa thì mọi sự sẽ khác . Bạn bè  , người thân đã quá xa để với tới nhưng rất gần để nghe điều có thể chưa là sự thật, Cuối cùng nhìn đi, nhìn lại chỉ có mình với mình . Niềm tin và sự hy vọng chỉ xuất phát từ bản thân và niềm tin tôn giáo chân chính nào đó nếu bạn tin tưởng . Sự cô đơn sẽ để bạn có sự tự nhận xét về bản thân về quá trình của mình đã từng trải và tích tụ hành xử ở tương lai để tự tạo hạnh phúc riêng bản thân không phụ thuộc ngoại cảnh  . Lúc này bạn đã thành công. Tôi thô thiển nên chỉ suy nghĩ được đến vậy",Sadness
Cảm giác cô đơn đôi khi là một nguồn hạnh phúc !,Lonely
"Mình biết độc tâm thuật và cách người khác suy nghĩ mình từng đọc sách từng nhìn thế giới này đến khi cảm thấy mình ko cần đau lòng cũng ko có gì phải suy nghĩ nữa mình đã nhìn thấu cuộc đời này . mình thích sống đơn giản nghĩ đơn giản , mình chỉ cần ăn no cũng có thể hạnh phúc . Thế giới này ko còn người quan trọng với mình nên thế giới cũng trở nên ko quan trọng . Mình đang hài lòng sống lãng phí.",Enjoyment
Sống phụ thuộc vào cảm xúc của người khác cũng là một loại cô đơn,Lonely
"Biết ơn chia sẻ của bạn. Thật là tuyệt vời. Cô đơn ko đáng sợ, đáng sợ là ta cứ cố đấu tranh với cô đơn. Nó như cách người ta đấu tranh với bóng tối, một thứ ko hiện hữu",Enjoyment
"Một tác phẩm không dễ đọc và lại càng không dễ review. Ad đã làm rất tốt, cảm ơn vì đã nói lên cảm nhận mà mình không thể nói.",Other
"độc thân chỉ cô đơn 1 phần , lập gd rồi vừa cô đơn gấp 8 lần lại thêm căng thẳng mệt mõi, có con thì tăng thêm 16 lần và ko còn con đường nào giải thoát",Lonely
"Công việc của mình tiếp xúc và trò chuyện với khá nhiều người và mình phát hiện ra là ai cũng cô đơn. Dù là giàu hay là nghèo. Thành công hay là chưa thì cũng đều phải đối mặt với nỗi cô đơn.
Bản thân mình cũng vậy. Mặc dù có một số khoảnh khắc cũng chối bỏ nó. Nhưng hiện tại thì mình đã tìm thấy niềm vui trong sự cô đơn đó hơn rồi. 
Cảm ơn bài chia sẻ của Kênh 
' Ngày 23.01.24",Enjoyment
"Mình đang cô đơn ngồi một mình trong khuôn viên hoa cỏ nắng gió...nghe clip của ban, trong sự tĩnh lặng tuyệt vời lại nghe những nội dung thích hợp lại càng thêm tuyệt vời. Nghe và suy ngẫm và tăng thêm nội lực vững chãi, tận hưởng sự cô đơn trọn vẹn. Chúc các bạn chạm đến những phút giây ý nghĩa trong cuôc đời mình",Enjoyment
Cô đơn tốt. Cảm ơn radio trăm năm cô đơn. Cô đơn nhỏ giờ quen rồi . Ai tận hưởng mới biết. Hihi,Lonely
"Sau khi nghe qua audio này mình tự hỏi sao con người lại nhấn mạnh và cảm thấy đau khổ khi ở 1 mình quá vậy và cảm thấy cô đơn là điều gì đó quá lớn lao . Trong khi mình thật sự cảm thấy rất thoải mái khi được ngồi tĩnh lặng 1 mình và nghĩ về nội tâm mục tiêu và những thứ xung quanh, đôi khi còn hạnh phúc hơn khi ở cạnh những người khiến mình tiêu cực. Mình luôn cảm thấy thật sự hạnh phúc và bình an khi đối diện với bản thân mình và nhận ra được sức mạnh của chính mình. Hiện tại 1 mình mình vẫn vui và may mắn có thêm 1 người yêu bên cạnh lắng nghe mình, có lẽ nhờ 1 mình vẫn ổn nên vũ trụ đã tặng thêm cho mình ""món quà"" tuyệt vời nữa. Tóm lại là mong mọi người đều luôn hạnh phúc và cảm thấy cô đơn thật sự đơn giản, đều vui vẻ với nó",Enjoyment
"Có ai đọc cuốn này chưa ạ, mình mới đọc xong thấy nỗi cô đơn trong gia đình này đúng là bao trùm, nhưng vẫn còn nhiều chi tiết hơi biến thái",Lonely
"20 tuổi- chập chững bước đôi bàn chân bé nhỏ vào đời, có những đôi lúc bị mất phương hướng, tự cô lập chính mình để tránh làm tổn thương người khác, có những cách sống hơi lập dị vì tách biệt với số đông, nhưng cho dù vậy thì mình cũng đang dần học cách ""lớn"", học cách chấp nhận những điều không hoàn hảo trên cơ thể mình",Hurt
"Tận hưởng sự bình yên một mình giữa cuộc sống quá đỗi phức tạp này là điều tuyệt vời nhất.Đó có lẽ là lí do vì sao bản thân mình thích hóng gió một mình, thích ngắm trăng một mình,thích ngắm biển một mình, thích suy nghĩ một mình và cũng thích vượt qua mọi khó khăn cùng với chính bản thân mình !",Enjoyment
Mình chia tay mối tình gần 7 năm từ thời học trò nên nhiều kỉ niệm mặc dù trước đó mình thấy tình cảm một chiều rồi. Nhưng ngày chia tay mình suy sụp hoàn toàn . Kỉ niệm với quá khứ kéo đến liên tục khiến mình sụp đổ. Và sau đó một thời gian thì ad ra video này nên mình có cái nhìn khác về cuộc sống. Có lẽ ai trên đời cũng cô đơn dù ít hay nhiều. Thay vì chạy trốn thì đương đầu lại được sống chậm và sống cho chính mình trong nỗi cô đơn.,Enjoyment
Trước đến giờ từ khi rời khỏi mái nhà bước ra xã hội bản thân mình đã học cách sống cô đơn cho đến hiện tại.,Lonely
"mình 40 tuổi, cô đơn dù có vợ 2 con sống chung nhà nhưng chỉ vì con, có lúc mình như trầm cảm, khi nghe kênh này mình vẫn cô đơn nhưng ổn hơn trước",Lonely
Cảm ơn các bạn trẻ đã mang đến những giây phút vừa thư giãn vừa ý nghĩa Mình rất ngưỡng mộ sự kiên định lan tỏa điều tử tế đến mọi người của các bạn tạo nên Better version. Chúc các bạn luôn gặp những điều tốt lành,Other
"Mình đúng là một đứa siêu hướng nội, thích tự mày mò tự tìm hiểu, thích dành thời gian ở một mình đào những thứ mình thích, thích không gian riêng tư cũng như là tôn trọng riêng tư người khác nên mình thích một mình Mình chưa đọc tp này nhưng mình đọc cuốn Quiet của Susan Cain, cũng hiểu vì sao mình quá độc lập, thích cô độc như vậy.",Enjoyment
"Bắt đầu buổi sáng bằng việc nghe podcast của bạn bỗng cảm thấy bình yên hẳn. Ngoài nội dung chắt lọc, giọng đọc & âm nhạc cũng làm dịu lòng người nghe ️

Cảm ơn kênh ",Other
"Hồi trước tui đã đau khổ đến mức muốn đi quách đi cho xong ấy, rồi cũng rất đau khổ vì không có ai thấu hiểu, giờ tui thấy bình thường và đã có suy nghĩ: “giờ mình không hiểu mình nữa thì ai hiểu được mình, họ có phải mình đâu, họ có sống cuộc đời của mình đâu, họ có suy nghĩ của mình đâu, nên mình không thể bắt họ hiểu mình được.”",Hurt
"Thử nhắm mắt lại tưởng tượng mấy chục năm nữa khi mình già đi con cháu đi làm ăn xa, nữa kia thì đã ra đi chỉ còn lại mỗi mình cô đơn trong căn nhà thân thuộc. Tình trạng mất ngủ tuổi già sự cô đơn bao trùm. Lúc đấy bạn mới thật sự hiểu được cảm giác trông ngóng con cháu quây quần vào dịp lễ tết quý ntn. Nhìn ra ngoài cửa sổ thấy tụi nhỏ chơi đùa. Nhìn xa hơn thấy nụ cười của các cặp đôi mới lớn. Nhìn lại mình lưng còng tóc bạc làn da nhăn nheo... kí ức lại ùa về, kĩ niệm của những ngày còn ba mẹ lớn lên xíu thì bạn bè rồi tới lúc kết hôn... 
 ""Khóc"" là từ mà tôi chỉ nghĩ ra để miêu tả cảm giác lúc đó. Tôi sẽ để bình luận này ở đây với hi vọng ngày đó sẽ còn đủ minh mẫn và sáng mắt để đọc lại nó và xem những phản hồi những trải nghiệm của các bạn. 
Đồng Nai, Thứ 4, 28/2/2024",Enjoyment
Mình thích bài kinh người biết sống một mình .một mình mà chả bao giờ cô đơn .Cảm ơn kênh!,Enjoyment
"Theo cá nhân mình, cô đơn khi chỉ có 1 mình là điều hiển nhiên. Cô đơn dù vẫn đang có ai đó bên cạnh mới là bất hạnh.
Mình độc thân, nhưng cảm thấy khá thoải mái và vui vẻ hơn lúc có người yêu. Nên mình cảm thấy hài lòng với hiện tại.",Enjoyment
"Sau khi nghe xong video mình đọc hết những cmt của mn.Mình học được rất nhiều từ cmt của mn,biết ơn kênh và mn rất nhiều ",Other
"Ai rồi cũng phải trải qua cảm giác đơn độc, chỉ là sớm hay muộn mà thôi  Cô đơn luôn ở đó, đồng hành cùng với ta đến hết cuộc đời ",Enjoyment
"Giọng đọc chữa lành thực sự, dù mình vẫn chưa đủ trải nghiệm để ngấm được tất cả nội dung bài đọc, nhưng mình cảm ơn bạn vì đã để lại nội dung mà số đông mọi người đang cần. ",Other
"Người nhiều bản ngã thì càng nhiều cô đơn.
Khi vô ngã thì ko cô đơn dù ở một mình, dù bệnh tật mà ko ai biết.
Cô đơn là một loại hạnh phúc. Giữa đám đông mình ko tạo mối qh với ai, ko bắt chuyện vs ai nhưng vẫn hạnh phúc.",Lonely
"Truyện này mk đọc thời niên thiếu, chả thấm gì, chả nhớ gì ngoài ám ảnh về cái đuôi lợn và đứa bé cuối cùng sinh ra có đuôi lợn. Cảm ơn bạn đã chia sẻ lại nhé.",Other
Cảm ơn cảm ơn và cảm ơn  một quyển sách tuyệt vời!,Enjoyment
"Minh rất thích giọng đọc sách của bạn. 
Bạn là người rất tình cảm 
Nghe ấm ấp làm sao",Enjoyment
"m đọc cuốn sách này từ những năm cấp 3, thời điểm đó thật sự ko có nhiều cảm xúc sâu sắc cho cuốn sách này, cái m cảm nhận chỉ là 1 gia đình quá đau thương, mqh loạn luân chồng chéo, có thể nói là 1 cuốn sách khá ám ảnh. Hồi đó m đã ko hiểu tsao tác phẩm này lại đc giải nobel, nhưng khi trưởng thành hơn m đọc lại cuốn sách 1 lần nữa thì cảm nhận về câu chuyện sâu sắc hơn rất nhiều... 1 cuốn sách hay",Enjoyment
Tôi đã chia sẻ video này với bạn bè của mình vì tôi tin rằng họ cũng sẽ thích và học hỏi được nhiều điều giống như tôi. Cảm ơn bạn!,Enjoyment
"Chẳng biết thế nào là co đơn. Tui thích sống độc lập. Chẳng muốn dính dáng đến nhiều người. Nhất là thiên hạ mà mình chẳng muốn thấy, gặp, hoặc nói chuyện. Nếu có sức khỏe, có tiền một chút thì cuộc sống sẽ có nhiều bạn rộn...",Enjoyment
"Khi màn đêm buông xuống, khi xe cộ tan tầm, khi người ta tràn ra phố, nhìn lên những ánh đèn bật sáng nhưng bạn lại có cảm giác như thể mệt mỏi chẳng liên quan gì đến mình, đôi khi dù xung quanh có rất nhiều người, thậm chí cả người bạn yêu thương nhất đang ngủ say bên cạnh bạn, bạn vẫn có thể trải qua cảm giác cô đơn khôn tả. Chúng ta tưởng rằng mình có người đồng hành sẽ không cô đơn, nhưng thật ra mình có người đồng hành vẫn sẽ cô đơn. Người độc thân cô đơn, người đã kết hôn cũng có thể cô đơn, người buồn chán cô đơn, người bận rộn cũng cô đơn. Bạn cô đơn giữa bầu trời đêm, bạn cũng sẽ cô đơn ngay cả dưới ánh nắng mặt trời. Nổi cô đơn nó sẽ luôn rình rập và sẽ xuất hiện vào một thời điểm trong đời bạn, nhưng câu hỏi lớn ở đây là, thời điểm khiến bạn cô đơn là khi người khác không yêu thương bạn, hay là vì bạn muốn có ai khác bên cạnh, muốn được yêu thương. Sự thật là nếu trong tim có một ai đó bạn sẽ không cô đơn, nếu nội tâm tràn đầy tình yêu bạn sẽ không cô đơn. Cô đơn sẽ đến khi nội tâm bạn cảm thấy thiếu thốn, nhưng có lẽ bạn không hề thiếu một người bên cạnh, mà bạn thiếu một năng lực để yêu",Enjoyment
Top kênh có nội dung thực tiễn mà toi luôn tin tưởng🫰🫰,Other
Mình đọc rất nhiều cuốn tiểu thuyết. Nhưng mình thật sự bị nghiện bởi duy nhất cuốn sách này. Mình đã đọc đi đọc lại 4 lần nhưng vẫn kh thấy chán,Sadness
"Suy nghĩ của bản thân:
- Con người không thể tránh khỏi quy luật của tự nhiên vì đó là điều sẽ phải xảy ra.
- Luôn cần một đối tượng tương tác để duy trì cảm xúc hưng phấn.
- Không cảm thấy cô đơn khi bản thân có điểm chung và được tương tác với đối tượng mình mong muốn, có thể tương tác được.
- Hạnh phúc phải bắt nguồn từ suy nghĩ, tiêu chuẩn của bản thân. Vì mỗi người lại có quan điểm riêng.
- Tập trung vào những việc làm bản thân hạnh phúc.",Lonely
"Nhân một ngày đầy bình yên vì có mn bên cạnh, mình học về nỗi cô đơn",Lonely
"hôm qua tự dưng thấy rất cô đơn mà ko biết tâm sự với ai cả, sáng nay thấy video này của kênh. Kênh rất bổ ích và ý nghĩa với mình  xin chân thành tri ân ",Lonely
"Giọng của bạn thật sự chữa lành tâm hồn, cám ơn bạn, sách cũng hay hơn qua giọng ấm áp và truyền cảm ",Enjoyment
"Nhất định sẽ đọc cuốn này, nghe tóm tắt thì cảm giác cuốn sách sẽ đồng hành với nỗi cô đơn tiếp theo của mình",Lonely
"Càng lớn càng trưởng thành càng thích cô đơn, cảm giác chỉ có thể tin tưởng bản thân mình. Ngày càng có khoảng cách với nhiều người vì tôi hướng nội ít nói, và cũng không giỏi giang. Không sao tự mình chiêm nghiệm cuộc đời này. Cũng chỉ có mấy chục năm thôi",Enjoyment
"Có lẽ đó là lý do người ta cần đức tin vào Thượng Đế, Đấng khoả lấp nỗi cô đơn sâu thẳm của tâm hồn.",Lonely
"Hãy hồn nhiên vô tư giống như khi bạn là đứa trẻ. Lúc này bạn chả cần biết nội tâm là gì? Cũng chả cần phải thiền định hay lo nghĩ người này người kia. Hãy cứ làm bất cứ gì bạn thích hoặc bạn cho đó là cần. Và hãy đi ngủ khi bản thân thấy mệt. Một cuộc sống đầy hứng thú và bận rộn vs những tiếng cười. 
Các bạn biết ko? Nội tâm của các bạn ấy, những gì các bạn nghĩ, những gì các bạn tự suy ngẫm. Nó chỉ có giá trị vs riêng bản thân bạn thôi. Hãy tưởng tượng rằng nếu bạn biến mất khỏi thế giới này. Thì mọi ng vẫn sống bth. Mọi thứ vẫn diễn ra như mọi khi. Thì đó mới là thực tế. Vậy cho nên hãy thôi mấy cái tự mụ mị tâm hồn mình đi. Hãy lm cái gì đó có tác dụng chút. Tôi đang thấy rất nhiều bạn đang dần trở thành cái văn hoá của XH Nhật Bản. Vô cảm, lạnh lùng và luôn chìm đắm vào trong tâm hồn mình mà lại còn tự cho rằng mình nhạy cảm, thấu cảm sâu sắc dc mọi thứ. Và sự liên kết cộng đồng cứ tự dần dần mất đi. Tôi nói thật! Chả có ai ngưỡng mộ một tâm hồn mạnh mẽ, sâu sắc đâu. Mà thực tế ngta ngưỡng mộ những gì bạn làm, bạn thể hiện.",Enjoyment
Cảm ơn kênh với những góc nhìn sâu sắc nhưng lại dễ hiểu qua những lời kể của bạn ,Other
"Cảm ơn Better Vision!
Sách hay và giọng đọc tuyệt vời!",Enjoyment
"Cảm ơn bạn đã thay tôi xây dựng ước mơ radio. Nhân sinh, triết lý hay là lý tưởng sống ...  tuy vô sự nhưng vẫn chúc quý vị có nhiều niềm vui sau mỗi buổi tạo video radio. Giọng nói ấy nhẹ nhàng, ấm áp và có đôi phần quen thuộc",Enjoyment
Cảm ơn tác giả và team của bạn,Other
"cô đơn không phải là đơn độc, một mình, cô đơn là bạn cần người bên cạnh nhưng bất đắc dĩ phải một mình. Vậy nên, nói ""tận hưởng sự cô đơn"" nghe rất buồn cười, vì cô đơn cũng như đang đói bụng, cùng lắm là chịu đựng chứ tận hưởng cái gì",Enjoyment
Mình lại thấy các bạn nói chuyện dễ thương quá nè,Other
Tớ là fan của sách và tớ yêu kênh này như người yêu của tớ ,Other
"sống một mình cảm thấy rất thoải mái, làm những gì mình thích đi đến đâu mình muốn. cảm ơn kênh đã chia sẽ",Enjoyment
 CẢM ƠN  GIỌNG ĐỌC CỦA BẠN.  BẠN CÓ GIỌNG ĐỌC RẤT HAY. CHÚC BẠN NGỦ NGON .,Enjoyment
"Mình thích ở 1 mình, cảm giác bình yên tự do tự tại",Enjoyment
Mình 18 tuổi sau khi biết đến Better Version mình muốn về quê sống một cuộc sống bình yên vì mình sống khá nội tâm và ít nói nên khó để hoà nhập vào cuộc sống tấp nộp ồn ào nơi phố thị.,Other
"Nghe bạn review sách cũng gần 1 năm rồi, gần đây mình nghe bạn mỗi đêm.. Cảm ơn bạn rất nhiều về những tác phẩm như chính bạn là người viết ra vậy!!! <3 <3 <3",Other
"Nghe thêm bên  Hiếu TV nữa cũng rất hay. Mình nghe bên Better version và Hieu Tv đã giup mình suy nghĩ trưởng thành hơn mỗingay, cảm ơn ad vì nhưngc cuốn sách gay",Enjoyment
Tuoi 24 voi su co don bao gom day cam xuc da vang cam on chu cu huy hoang,Other
"Biết ơn bạn đã chia sẻ những quyển sách hay, giọng đọc rất ấm áp, dễ chịu <3",Enjoyment
"Tuyệt quá, tuần này có video từ tối thứ 7 luôn nè. 
Cảm ơn Better Version. ",Enjoyment
Tôi đã từng cảm thấy cô đơn tột cùng cho đến khi tôi quyết định cố gắng giúp người khác bớt cô đơn ,Lonely
"6:20 ""Cô đơn vì không ai thấu hiểu"". Mình tìm được sự đồng cảm từ video này. Cảm ơn bạn rất nhiều ",Lonely
Cảm ơn Better Version đã giới thiệu cuốn sách rất ý nghĩa :3,Other
Đừng nhốt chính mjk trong suy nghĩ của mình thì sẽ k cô đơn ,Fear
"Rất lạ, hôm qua nằm mơ thấy mặt bạn Better version , bạn là bác sĩ ẩm thực đứa bé vỗ nín và nói cô là Better version kênh mẹ con hay nghe",Enjoyment
Giọng bạn rất truyền cảm. Cảm ơn kênh vô cùng. Đúng vậy chấp chập cô đơn  thì tự khắc sẽ thấy hạnh phúc và yêu chính con người của mình,Lonely
Lời kết hay này. Cảm ơn các bạn Better Version đã chia sẻ một quyển sách thú vị và những thông điệp đáng nhớ ,Enjoyment
Dung giong nhu yeu 1 nguoi ko ton tai chung ta se dau kho va ban dang tan huong day niem vui khi loc cua ban dang vinh hoa phu quý,Enjoyment
Bạn biết ko.nghe chương trình của bạn riết rồi .sống một mình .sống tối giản.cham sóc tâm hồn.tu mình vui . tự mình bước đi .cảm ơn bạn nhiều,Enjoyment
"cuốn sách rất hay, chia sẻ cho bạn cũng thật ý nghĩa, cảm ơn bạn",Enjoyment
Cám ơn Better Vision.,Other
cám ơn video của chị rất nhiều. nó đến đúng lúc em đang bị chìm trong sự cô đơn. em ko hiểu tại sao càng lớn mik lại càng cảm thấy cô đơn nữa.,Lonely
Tôi nghe giọng đọc của bạn sao mà ấm áp.tình cảm dịu dàng thủ thỉ như tâm sự của bạn tôi thấy bớt cô đơn..Cảm ơn bạn nhiều.,Lonely
Video tuyệt vời mà tôi tìm kiếm bấy lâu.,Enjoyment
Mình cũng từng muốn đề xuất bạn làm cuốn này... cảm ơn bạn nhé,Other
"Nội dung hay , giọng đọc ấm , cảm ơn e ",Enjoyment
"Cảm ơn bạn, giọng đọc nhẹ nhàng giúp mình thấy nhẹ nhành hơn vì tấm lòng khô cứng này.",Other
"Mình thấy Úrsula cũng được chồng yêu thương mà. Lúc bà đuổi theo đám người Digan mà thằng con trai cả đã đi với họ, José Arcadio Buendía cũng đã cho người đuổi theo, bản thân ông cũng đã tìm kiếm khắp nơi rồi. Nhưng còn những đứa con nhỏ trong gia đình, ông cũng phải quay về trong sự bất lực và chăm nuôi con, làm những công việc của vợ. Đến khi vợ của ông quay trở về, ông lập tức chạy tới ôm bà vào lòng như muốn ôm cả thế giới.",Anger
Cảm ơn Better Version đã chia sẻ ,Other
Cảm ơn Better Version ,Other
"Sự cô đơn thúc đẩy con người làm việc tốt hơn,từ đó năng suất của xã hội sẽ tốt hơn.Nếu không có sự cô đơn,thế giới sẽ không có gì luôn.",Lonely
